account_id,district_id,frequency_id,date
A00000001,18,1,2015-03-24
A00000002,1,1,2013-02-26
A00000003,5,1,2017-07-07
A00000004,12,1,2016-02-21
A00000005,15,1,2017-05-30
A00000006,51,1,2014-09-27
A00000007,60,1,2016-11-24
A00000008,57,1,2015-09-21
A00000009,70,1,2013-01-27
A00000010,54,1,2016-08-28
A00000011,76,1,2015-10-10
A00000012,21,1,2017-04-15
A00000013,76,1,2017-08-17
A00000014,47,1,2016-11-27
A00000015,70,1,2013-10-02
A00000016,12,1,2017-09-23
A00000017,1,1,2017-01-08
A00000018,43,2,2013-05-26
A00000019,21,1,2015-04-07
A00000020,74,1,2016-08-24
A00000021,54,1,2017-12-06
A00000022,1,1,2014-03-23
A00000023,30,1,2013-05-22
A00000024,74,1,2016-12-05
A00000025,68,1,2016-07-28
A00000026,52,1,2013-08-08
A00000027,73,1,2013-09-26
A00000029,7,1,2014-11-24
A00000030,36,1,2015-03-04
A00000031,68,1,2014-04-27
A00000032,5,1,2015-08-28
A00000033,22,1,2013-08-26
A00000034,67,2,2013-09-17
A00000035,75,1,2013-07-07
A00000036,1,1,2013-07-01
A00000037,20,1,2017-08-18
A00000038,19,2,2017-08-08
A00000039,36,1,2013-09-22
A00000040,64,1,2013-10-25
A00000041,72,1,2017-08-02
A00000042,39,1,2016-08-16
A00000043,36,1,2014-06-12
A00000044,32,1,2013-05-10
A00000045,64,1,2017-09-02
A00000047,45,1,2013-08-08
A00000048,21,1,2016-11-17
A00000049,1,1,2017-04-06
A00000050,1,1,2014-05-06
A00000051,67,1,2016-05-11
A00000052,16,1,2017-01-29
A00000053,77,1,2015-06-07
A00000054,4,1,2015-05-02
A00000055,20,1,2016-02-19
A00000056,50,1,2014-05-16
A00000057,1,1,2015-05-21
A00000058,29,1,2016-08-23
A00000059,43,1,2014-03-27
A00000061,70,1,2013-12-11
A00000062,47,1,2013-03-28
A00000063,22,1,2016-11-16
A00000064,64,1,2017-03-11
A00000065,36,1,2016-10-29
A00000066,48,3,2013-12-03
A00000067,16,1,2014-10-19
A00000068,37,3,2014-12-20
A00000069,64,1,2016-01-12
A00000070,8,1,2015-02-18
A00000071,1,1,2014-03-05
A00000072,1,2,2016-06-20
A00000073,72,1,2013-11-08
A00000075,1,1,2015-08-13
A00000076,52,1,2016-05-16
A00000077,63,1,2016-11-19
A00000078,74,1,2013-07-07
A00000079,3,1,2016-11-29
A00000080,43,1,2015-09-27
A00000081,74,1,2016-07-18
A00000082,26,1,2014-05-03
A00000083,26,1,2013-04-16
A00000084,44,3,2015-12-25
A00000085,68,1,2017-03-23
A00000086,54,1,2013-03-07
