client_id,age_id,district_id,sex
C00000001,1,18,Female
C00000002,2,1,Male
C00000003,2,1,Female
C00000004,2,5,Male
C00000005,2,5,Female
C00000006,3,12,Male
C00000007,3,15,Male
C00000008,3,51,Female
C00000009,3,60,Male
C00000010,2,57,Male
C00000011,2,57,Female
C00000012,4,40,Male
C00000013,1,54,Female
C00000014,2,76,Female
C00000015,3,21,Female
C00000016,3,21,Male
C00000017,3,76,Male
C00000018,3,76,Female
C00000019,2,47,Male
C00000020,1,46,Male
C00000021,2,12,Female
C00000022,2,1,Female
C00000023,1,1,Male
C00000024,3,43,Female
C00000025,3,21,Female
C00000026,2,74,Female
C00000027,2,54,Female
C00000028,2,1,Male
C00000029,2,30,Female
C00000030,2,74,Female
C00000031,2,68,Male
C00000032,4,52,Male
C00000033,2,73,Female
C00000036,1,7,Female
C00000037,1,7,Male
C00000038,1,36,Female
C00000039,2,68,Male
C00000040,2,5,Female
C00000041,2,22,Male
C00000042,3,68,Male
C00000043,3,75,Male
C00000044,1,38,Female
C00000045,2,20,Male
C00000046,3,19,Female
C00000047,3,76,Male
C00000048,2,16,Male
C00000049,2,72,Female
C00000050,1,39,Female
C00000051,1,36,Female
C00000052,3,32,Male
C00000053,1,64,Male
C00000055,2,45,Female
C00000056,2,21,Male
C00000057,2,21,Female
C00000058,3,1,Female
C00000059,2,1,Male
C00000060,4,67,Male
C00000061,2,16,Female
C00000062,3,77,Male
C00000063,2,4,Male
C00000064,3,20,Male
C00000065,2,50,Female
C00000066,2,1,Female
C00000067,3,29,Female
C00000068,2,43,Male
C00000070,3,70,Male
C00000071,3,70,Female
C00000072,3,47,Male
C00000073,3,22,Male
C00000074,3,22,Female
C00000075,1,64,Female
C00000076,2,36,Female
C00000077,2,1,Female
C00000078,2,16,Female
C00000079,2,37,Female
C00000080,1,64,Female
C00000081,1,8,Male
C00000082,1,8,Female
C00000083,1,1,Female
C00000084,1,1,Male
C00000085,2,1,Male
C00000086,2,1,Female
C00000087,2,72,Female
C00000089,2,1,Female
