complaint_id,client_id,date_received,product_id,via_id,response_id
CR0000072,C00003714,2012-05-21,1,1,1
CR0000084,C00001366,2012-05-21,1,1,1
CR0000140,C00002330,2012-05-21,2,2,2
CR0000175,C00001231,2012-05-21,2,1,3
CR0000193,C00013588,2012-05-22,1,2,4
CR0000298,C00001752,2012-05-22,3,1,2
CR0000348,C00002696,2012-05-22,1,3,2
CR0000681,C00001177,2012-05-22,1,2,3
CR0000795,C00001592,2012-05-22,2,2,2
CR0000895,C00001998,2012-05-22,1,1,1
CR0000902,C00002397,2012-05-22,1,2,2
CR0001080,C00002867,2012-05-23,1,1,1
CR0001341,C00000960,2012-05-23,1,1,4
CR0001416,C00001460,2012-05-23,2,2,3
CR0001710,C00004522,2012-05-23,1,1,1
CR0002041,C00003642,2011-12-30,2,2,3
CR0002046,C00000829,2011-12-01,2,2,2
CR0002057,C00008327,2011-12-01,2,3,3
CR0002066,C00002965,2011-12-01,2,3,5
CR0002083,C00001006,2011-12-01,2,3,3
CR0002121,C00002913,2011-12-01,2,3,3
CR0002199,C00002344,2011-12-01,2,3,2
CR0002203,C00003934,2011-12-01,2,3,2
CR0002259,C00010303,2011-12-01,2,3,3
CR0002298,C00004731,2011-12-01,2,3,3
CR0002340,C00003541,2011-12-01,2,3,2
CR0002348,C00001926,2011-12-01,2,3,2
CR0002418,C00002404,2011-12-02,2,3,2
CR0002422,C00001723,2011-12-02,2,3,2
CR0002430,C00002404,2011-12-02,2,3,3
CR0002460,C00002797,2011-12-02,2,3,3
CR0002463,C00000689,2011-12-02,2,3,3
CR0002498,C00004099,2011-12-02,2,3,2
CR0002503,C00002096,2011-12-02,2,2,3
CR0002561,C00002293,2011-12-02,2,3,3
CR0002590,C00010662,2011-12-02,2,3,3
CR0002640,C00003327,2011-12-02,2,2,3
CR0002723,C00001473,2011-12-03,2,2,3
CR0002809,C00001614,2011-12-05,2,3,2
CR0002810,C00000379,2011-12-05,2,3,3
CR0002814,C00002771,2011-12-05,2,3,5
CR0002895,C00000082,2011-12-05,2,3,3
CR0002909,C00000944,2011-12-05,2,3,3
CR0002914,C00003054,2011-12-05,2,3,2
CR0002929,C00007863,2011-12-05,2,1,2
CR0002937,C00002949,2011-12-05,2,3,2
CR0002950,C00000515,2011-12-05,2,3,2
CR0002953,C00004748,2011-12-05,2,3,3
CR0002963,C00001312,2011-12-05,2,3,5
CR0002964,C00005468,2011-12-05,2,2,3
CR0003003,C00006114,2011-12-05,2,3,2
CR0003017,C00001086,2011-12-05,2,3,4
CR0003026,C00002088,2011-12-05,2,3,2
CR0003031,C00010076,2011-12-05,2,3,3
CR0003041,C00011709,2011-12-05,2,3,2
CR0003047,C00004790,2011-12-05,2,2,2
CR0003060,C00001448,2011-12-05,2,3,2
CR0003069,C00001590,2011-12-05,2,2,3
CR0003085,C00003659,2011-12-05,2,3,3
CR0003092,C00001513,2011-12-05,2,3,2
CR0003100,C00001728,2011-12-05,2,2,2
CR0003119,C00002084,2011-12-05,2,2,3
CR0003128,C00004309,2011-12-05,2,2,3
CR0003146,C00002469,2011-12-06,2,2,3
CR0003163,C00001561,2011-12-06,2,3,2
CR0003164,C00009798,2011-12-06,2,3,3
CR0003165,C00000865,2011-12-06,2,3,3
CR0003182,C00006186,2011-12-06,2,3,2
CR0003250,C00002158,2011-12-06,2,3,3
CR0003266,C00000154,2011-12-06,2,3,2
CR0003269,C00000409,2011-12-06,2,1,2
CR0003381,C00000429,2011-12-06,2,3,3
CR0003428,C00001734,2011-12-06,2,3,2
CR0003434,C00004680,2011-12-06,2,3,2
CR0003447,C00003390,2011-12-06,2,3,2
CR0003454,C00004340,2011-12-06,2,3,2
CR0003482,C00000086,2011-12-07,2,2,3
CR0003488,C00004711,2011-12-02,2,3,3
CR0003495,C00003677,2011-12-07,2,3,2
CR0003572,C00004638,2011-12-07,2,3,2
CR0003638,C00004396,2011-12-07,2,3,1
CR0003659,C00001292,2011-12-07,2,2,2
