trans_id,account_id,type_id,operation_id,bank_id,amount,balance,date
T00000001,A00000001,1,1,1,1000,1000,2015-03-24
T00000005,A00000001,1,2,2,3679,4679,2015-04-13
T00000006,A00000001,1,2,2,3679,20977.2,2015-05-13
T00000007,A00000001,1,2,2,3679,26835.2,2015-06-13
T00000008,A00000001,1,2,2,3679,30414.8,2015-07-13
T00000009,A00000001,1,2,2,3679,28902.7,2015-08-13
T00000010,A00000001,1,2,2,3679,22714.3,2015-09-13
T00000011,A00000001,1,2,2,3679,23318.2,2015-10-13
T00000012,A00000001,1,2,2,3679,21721.1,2015-11-13
T00000013,A00000001,1,2,2,3679,20248.6,2015-12-13
T00000014,A00000001,1,2,2,3679,17870,2016-01-13
T00000015,A00000001,1,2,2,3679,14806.5,2016-02-13
T00000016,A00000001,1,2,2,3679,16178.6,2016-03-13
T00000017,A00000001,1,2,2,3679,17656.8,2016-04-13
T00000018,A00000001,1,2,2,3679,16936.7,2016-05-13
T00000019,A00000001,1,2,2,3679,15652.4,2016-06-13
T00000020,A00000001,1,2,2,3679,17970.4,2016-07-13
T00000021,A00000001,1,2,2,3679,18125.5,2016-08-13
T00000022,A00000001,1,2,2,3679,20403.7,2016-09-13
T00000023,A00000001,1,2,2,3679,19994.8,2016-10-13
T00000024,A00000001,1,2,2,3679,18010.5,2016-11-13
T00000025,A00000001,1,2,2,3679,16495.3,2016-12-13
T00000026,A00000001,1,2,2,3679,15086.9,2017-01-13
T00000027,A00000001,1,2,2,3679,15744.7,2017-02-13
T00000028,A00000001,1,2,2,3679,15815.3,2017-03-13
T00000029,A00000001,1,2,2,3679,12479.6,2017-04-13
T00000030,A00000001,1,2,2,3679,13741.6,2017-05-13
T00000031,A00000001,1,2,2,3679,13838.1,2017-06-13
T00000032,A00000001,1,2,2,3679,16605.7,2017-07-13
T00000033,A00000001,1,2,2,3679,16682.2,2017-08-13
T00000034,A00000001,1,2,2,3679,16701.7,2017-09-13
T00000035,A00000001,1,2,2,3679,17979,2017-10-13
T00000036,A00000001,1,2,2,3679,18163.8,2017-11-13
T00000037,A00000001,1,2,2,3679,14748.7,2017-12-13
T00000038,A00000001,1,2,2,3679,15352.7,2018-01-13
T00000039,A00000001,1,2,2,3679,14901,2018-02-13
T00000040,A00000001,1,2,2,3679,16169.6,2018-03-13
T00000041,A00000001,1,2,2,3679,15585.1,2018-04-13
T00000042,A00000001,1,2,2,3679,16677.4,2018-05-13
T00000043,A00000001,1,2,2,3679,17956.5,2018-06-13
T00000044,A00000001,1,2,2,3679,18790.4,2018-07-13
T00000045,A00000001,1,2,2,3679,19808.2,2018-08-13
T00000046,A00000001,1,2,2,3679,14597.8,2018-09-13
T00000047,A00000001,1,2,2,3679,15868.9,2018-10-13
T00000048,A00000001,1,2,2,3679,17144.4,2018-11-13
T00000049,A00000001,1,2,2,3679,13413.9,2018-12-13
T00000058,A00000001,2,3,3,2452,19035.3,2015-09-05
T00000059,A00000001,2,3,3,2452,19639.2,2015-10-05
T00000060,A00000001,2,3,3,2452,18042.1,2015-11-05
T00000061,A00000001,2,3,3,2452,16569.6,2015-12-05
T00000062,A00000001,2,3,3,2452,15511,2016-01-05
T00000063,A00000001,2,3,3,2452,11127.5,2016-02-05
T00000064,A00000001,2,3,3,2452,12499.6,2016-03-05
T00000065,A00000001,2,3,3,2452,13977.8,2016-04-05
T00000066,A00000001,2,3,3,2452,13257.7,2016-05-05
T00000067,A00000001,2,3,3,2452,11973.4,2016-06-05
T00000068,A00000001,2,3,3,2452,14291.4,2016-07-05
T00000069,A00000001,2,3,3,2452,14446.5,2016-08-05
T00000070,A00000001,2,3,3,2452,16724.7,2016-09-05
T00000071,A00000001,2,3,3,2452,16315.8,2016-10-05
T00000072,A00000001,2,3,3,2452,14331.5,2016-11-05
T00000073,A00000001,2,3,3,2452,12816.3,2016-12-05
T00000074,A00000001,2,3,3,2452,10207.9,2017-01-05
T00000075,A00000001,2,3,3,2452,10365.7,2017-02-05
T00000076,A00000001,2,3,3,2452,12136.3,2017-03-05
T00000077,A00000001,2,3,3,2452,8800.6,2017-04-05
T00000078,A00000001,2,3,3,2452,10062.6,2017-05-05
T00000079,A00000001,2,3,3,2452,10159.1,2017-06-05
T00000080,A00000001,2,3,3,2452,11426.7,2017-07-05
T00000081,A00000001,2,3,3,2452,14203.2,2017-08-05
T00000082,A00000001,2,3,3,2452,13412.7,2017-09-05
T00000083,A00000001,2,3,3,2452,14300,2017-10-05
T00000084,A00000001,2,3,3,2452,15584.8,2017-11-05
T00000085,A00000001,2,3,3,2452,15769.7,2017-12-05
T00000086,A00000001,2,3,3,2452,11773.7,2018-01-05
T00000087,A00000001,2,3,3,2452,10722,2018-02-05
T00000088,A00000001,2,3,3,2452,12490.6,2018-03-05
T00000089,A00000001,2,3,3,2452,11906.1,2018-04-05
T00000090,A00000001,2,3,3,2452,12998.4,2018-05-05
T00000091,A00000001,2,3,3,2452,14277.5,2018-06-05
T00000092,A00000001,2,3,3,2452,15111.4,2018-07-05
T00000093,A00000001,2,3,3,2452,16129.2,2018-08-05
T00000094,A00000001,2,3,3,2452,10918.8,2018-09-05
T00000095,A00000001,2,3,3,2452,12189.9,2018-10-05
T00000096,A00000001,2,3,3,2452,13465.4,2018-11-05
T00000097,A00000001,2,3,3,2452,9734.9,2018-12-05
T00000098,A00000001,2,4,1,540,18108.6,2015-12-24
T00000099,A00000001,2,4,1,180,12615.3,2016-12-18
T00000108,A00000001,2,4,1,870,13950,2016-01-21
T00000109,A00000001,2,4,1,150,14820,2016-01-18
T00000110,A00000001,2,4,1,210,17963,2016-01-04
T00000111,A00000001,2,4,1,720,14611,2016-01-09
T00000112,A00000001,2,4,1,180,15331,2016-01-09
T00000113,A00000001,2,4,1,420,14191,2016-01-10
T00000114,A00000001,2,4,1,840,12776.9,2017-01-30
T00000117,A00000001,2,4,1,630,14456.9,2017-01-13
T00000118,A00000001,2,4,1,450,13616.9,2017-01-22
T00000119,A00000001,2,4,1,390,14066.9,2017-01-19
T00000121,A00000001,2,4,1,570,14225.7,2018-01-03
